,symbol,timestamp,open,high,low,close,volume,trade_count,vwap
197,AAPL,2025-12-01 15:12:00+00:00,277.23,277.5199,277.14,277.49,141697.0,2188.0,277.420087
198,AAPL,2025-12-01 15:13:00+00:00,277.505,277.68,277.49,277.61,57132.0,1879.0,277.582141
199,AAPL,2025-12-01 15:14:00+00:00,277.625,277.72,277.58,277.7101,154710.0,1698.0,277.63467
200,AAPL,2025-12-01 15:15:00+00:00,277.71,277.74,277.57,277.69,51285.0,1683.0,277.665566
201,AAPL,2025-12-01 15:16:00+00:00,277.67,277.93,277.64,277.9001,107679.0,2160.0,277.794905
202,AAPL,2025-12-01 15:17:00+00:00,277.915,278.05,277.915,277.97,104000.0,2272.0,277.992
203,AAPL,2025-12-01 15:18:00+00:00,277.97,278.03,277.86,277.865,57356.0,1878.0,277.932978
204,AAPL,2025-12-01 15:19:00+00:00,277.855,278.1,277.855,278.075,62771.0,1812.0,278.014114
205,AAPL,2025-12-01 15:20:00+00:00,278.06,278.07,277.72,277.745,48790.0,1898.0,277.904676
206,AAPL,2025-12-01 15:21:00+00:00,277.735,277.8504,277.668,277.82,65497.0,2107.0,277.776927
207,AAPL,2025-12-01 15:22:00+00:00,277.8115,278.045,277.78,277.975,58965.0,5376.0,277.896038
208,AAPL,2025-12-01 15:23:00+00:00,277.96,278.06,277.9222,277.9817,54252.0,2071.0,277.981816
209,AAPL,2025-12-01 15:24:00+00:00,277.985,278.0199,277.8,277.91,47090.0,1526.0,277.883342
210,AAPL,2025-12-01 15:25:00+00:00,277.89,277.98,277.61,277.912,101555.0,2493.0,277.832178
211,AAPL,2025-12-01 15:26:00+00:00,277.89,278.02,277.81,277.885,60110.0,1817.0,277.944313
212,AAPL,2025-12-01 15:27:00+00:00,277.84,277.925,277.615,277.7164,35012.0,1586.0,277.742382
213,AAPL,2025-12-01 15:28:00+00:00,277.72,278.04,277.67,278.0,71766.0,2141.0,277.923146
214,AAPL,2025-12-01 15:29:00+00:00,278.01,278.16,277.88,278.1421,50078.0,1826.0,278.051476
215,AAPL,2025-12-01 15:30:00+00:00,278.1,278.22,278.0,278.0,46983.0,1733.0,278.118616
216,AAPL,2025-12-01 15:31:00+00:00,278.0,278.06,277.92,277.98,41219.0,1560.0,277.985338
217,AAPL,2025-12-01 15:32:00+00:00,277.99,278.08,277.9888,278.0245,39570.0,1438.0,278.020718
218,AAPL,2025-12-01 15:33:00+00:00,278.01,278.08,277.9299,278.001,27145.0,1481.0,278.006008
219,AAPL,2025-12-01 15:34:00+00:00,278.0,278.0,277.76,277.87,49877.0,1854.0,277.817614
220,AAPL,2025-12-01 15:35:00+00:00,277.85,277.855,277.71,277.71,49930.0,1662.0,277.781119
